Date,Open,High,Low,Close,TD Reference Close Up,TD Reference Close Down
19/10/17 09:00,136.74,136.87,136.68,136.77,136.84,
19/10/17 08:00,136.75,136.87,136.69,136.74,136.91,
19/10/17 07:00,136.85,136.85,136.63,136.75,136.91,
18/10/17 17:00,136.75,136.85,136.73,136.84,136.97,
18/10/17 16:00,136.88,136.91,136.63,136.76,136.97,
18/10/17 15:00,136.9,136.93,136.81,136.89,136.99,
18/10/17 14:00,136.88,136.95,136.84,136.91,137.02,
18/10/17 13:00,136.98,137.04,136.86,136.88,137.03,
18/10/17 12:00,136.99,137.06,136.93,136.97,137.38,
18/10/17 11:00,137.02,137.06,136.93,136.99,137.38,
18/10/17 10:00,137.03,137.19,136.96,137.02,137.38,
18/10/17 09:00,137.13,137.18,136.96,137.03,137.38,
18/10/17 08:00,137.37,137.44,137.11,137.13,137.38,137.24
18/10/17 07:00,137.27,137.4,137.27,137.38,137.31,137.2
17/10/17 17:00,137.3,137.36,137.29,137.29,,137
17/10/17 16:00,137.25,137.33,137.18,137.31,137.26,137
17/10/17 15:00,137.19,137.26,137.13,137.24,137.26,137
17/10/17 14:00,137.01,137.24,137.01,137.2,137.26,136.91
17/10/17 13:00,137.25,137.27,137,137,137.26,136.91
17/10/17 12:00,137.14,137.3,137.12,137.26,,136.91
17/10/17 11:00,137.02,137.16,136.99,137.13,,136.83
17/10/17 10:00,137.01,137.15,137,137.02,,136.83
17/10/17 09:00,136.91,137.03,136.86,137,136.93,136.83
17/10/17 08:00,136.84,136.96,136.83,136.91,136.93,136.71
17/10/17 07:00,136.79,137.01,136.77,136.83,136.93,136.71
16/10/17 17:00,136.89,136.99,136.88,136.93,,136.66
16/10/17 16:00,136.87,136.9,136.78,136.9,,136.66
16/10/17 15:00,136.71,136.89,136.71,136.87,,136.58
16/10/17 14:00,136.66,136.73,136.61,136.71,,136.56
16/10/17 13:00,136.69,136.72,136.59,136.66,,136.46
16/10/17 12:00,136.58,136.73,136.55,136.7,,136.46
16/10/17 11:00,136.57,136.64,136.51,136.58,,136.26
16/10/17 10:00,136.47,136.61,136.43,136.56,136.48,136.26
16/10/17 09:00,136.46,136.54,136.45,136.48,136.62,136.26
16/10/17 08:00,136.26,136.46,136.16,136.46,136.62,
16/10/17 07:00,136.26,136.42,136.17,136.26,136.62,
13/10/17 17:00,136.28,136.34,136.21,136.26,136.62,136.2
13/10/17 16:00,136.62,136.62,136.21,136.28,,136.2
13/10/17 15:00,136.43,136.65,136.36,136.62,,136.2
